,HoursActual,HoursEstimate,HoursPredict
10165,208.65,70.0,4.252282768878677
10166,208.65,70.0,4.252282768878677
10167,50.75,28.0,3.1163756609000046
10168,8.25,8.0,2.27108134129599
10169,9.5,4.0,1.6649231862093312
10170,5.0,5.0,1.949704530607107
10171,35.5,27.0,3.0633163542449973
10172,12.5,8.0,2.35041600286247
10173,3.5,2.5,1.4196869563844403
10174,0.5,0.5,0.4573019907003483
10175,10.32,15.0,2.5871865036201354
10176,12.34,15.0,2.6076064026502017
10177,4.51,14.0,2.6459287411256103
10178,1.5,2.0,1.1648629314888959
10179,0.75,1.0,0.7700883866583077
10180,0.75,1.0,1.151380023659187
10181,4.05,2.5,1.4196869563844403
10182,4.0,4.5,1.9359509091436133
10183,13.0,21.0,3.0790777461824907
10184,2.0,2.0,1.1648629314888959
10185,4.0,4.0,1.688893674315453
10186,2.0,2.0,1.5775712749714415
10187,10.38,35.0,3.115327474370572
10188,12.0,14.0,2.6175444482594994
10189,2.75,2.0,1.1648629314888959
10190,2.75,2.0,1.1648629314888959
10191,16.0,21.0,2.8460361308799667
10192,16.0,21.0,2.8460361308799667
10193,26.52,14.0,2.6459287411256103
10194,3.0,3.0,1.627509268436881
10195,41.25,105.0,4.252282768878677
10196,1.5,50.0,3.210763998982372
10197,28.0,50.0,3.210763998982372
10198,2.5,2.5,1.6303343083621276
10199,8.0,3.5,1.4645776324447375
10200,8.0,3.5,1.4645776324447375
10201,9.0,9.0,2.2649182574299314
10202,43.94,35.0,3.249503955840903
10203,2.5,7.0,1.9353218161423196
10204,3.0,3.0,1.4530110993933656
10205,4.0,1.0,0.826605299719946
10206,4.0,1.0,0.826605299719946
10207,4.0,1.0,0.826605299719946
10208,5.0,7.0,1.9078807688143131
10209,13.0,8.0,2.4446266775114776
10210,13.0,8.0,2.4446266775114776
10211,4.0,4.0,1.641533168740134
10212,4.0,4.0,1.641533168740134
10213,2.75,3.0,1.444011462900371
10214,5.0,2.5,1.6303343083621276
10215,5.0,2.5,1.6303343083621276
10216,5.0,5.0,1.949704530607107
10217,2.5,2.5,1.6303343083621276
10218,23.5,5.0,2.35347755590126
10219,23.5,5.0,2.35347755590126
10220,2.0,2.0,1.5775712749714415
10221,1.5,1.5,1.028963807749495
10222,46.65,28.0,3.1163756609000046
10223,2.5,3.5,1.4645776324447375
